id,LocationAbbr,State,Question,Category,Response,Status,Percentage,Difference(%)
1,AL,Alabama,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.6,5.2
2,AK,Alaska,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,70.4,2.1
4,AZ,Arizona,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,77.1,8.7
5,AR,Arkansas,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,77.1,7.3
6,CA,California,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,78.5,8.2
8,CO,Colorado,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,73.5,5.2
9,CT,Connecticut,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,84.5,11.2
10,DE,Delaware,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.7,7.8
11,DC,District of Columbia,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,81.7,0.9
12,FL,Florida,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,82.2,8.6
13,GA,Georgia,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,81.4,9.7
15,HI,Hawaii,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,84.2,1.6
16,ID,Idaho,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,72.2,1.3
17,IL,Illinois,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,82.5,8.7
18,IN,Indiana,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,75.3,5.9
19,IA,Iowa,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,82.2,4.9
20,KS,Kansas,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,76.9,11.2
21,KY,Kentucky,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,77,2.5
22,LA,Louisiana,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,85.6,9.1
23,ME,Maine,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,82.9,0.6
24,MD,Maryland,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,82.4,4.6
25,MA,Massachusetts,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,87.4,3.3
26,MI,Michigan,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.6,4.3
27,MN,Minnesota,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.9,7.6
28,MS,Mississippi,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,75,3.7
29,MO,Missouri,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,78.5,4.8
30,MT,Montana,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,75.7,9.6
31,NE,Nebraska,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,79.6,11.8
32,NV,Nevada,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,75.6,-2.8
33,NH,New Hampshire,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,78.1,0
34,NJ,New Jersey,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.4,8
35,NM,New Mexico,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,75.4,1.8
36,NY,New York,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,83.7,5.4
37,NC,North Carolina,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,82.8,9.2
38,ND,North Dakota,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,83.5,16.7
39,OH,Ohio,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.5,7.2
40,OK,Oklahoma,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,74.7,5.6
41,OR,Oregon,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,79.3,2.5
42,PA,Pennsylvania,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,83,9.2
44,RI,Rhode Island,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,88.8,13.1
45,SC,South Carolina,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.9,6
46,SD,South Dakota,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,83.7,14
47,TN,Tennessee,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,79.2,5.7
48,TX,Texas,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,81.3,11.3
49,UT,Utah,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,71.8,1.9
50,VT,Vermont,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,76.5,7.5
51,VA,Virginia,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80,2.5
53,WA,Washington,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,75.8,3.4
54,WV,West Virginia,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,81.4,9.2
55,WI,Wisconsin,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,82.3,5.4
56,WY,Wyoming,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,69.6,15
99,US,United States,Mammogram in Past 2 Years,Prevention & Screenings,Yes,Non-disabled,80.4,6.9
